CODICE_VOLANTINO,ART_COD,FORECAST
23MB,XIAREDMINOTE12256B,923.8358445390829
23NB,XIAREDMINOTE12256B,680.8647976575357
23MB,XIAREDMINOTE12256G,1097.5082595786591
23NB,XIAREDMINOTE12256G,1434.5637834513095
23MB,XIAREDMINOTE12256M,359.3244049473971
23NB,XIAREDMINOTE12256M,514.1626803268327
23MB,XIAREDMINOTE12PRO+B,247.8108486692909
23MD,XIAREDMINOTE12PRO+B,240.82082580196553
23NB,XIAREDMINOTE12PRO+B,288.74765485618116
23MA,XIAREDMINOTE12PRO+B,161.1497828184867
23NC,XIAREDMINOTE12PRO+B,206.11671159968063
23MB,XIAREDMINOTE12PRO+W,371.5103729147281
23MD,XIAREDMINOTE12PRO+W,366.9641103994296
23NB,XIAREDMINOTE12PRO+W,420.8610196164776
23MA,XIAREDMINOTE12PRO+W,298.3737414422561
23NC,XIAREDMINOTE12PRO+W,350.762172177199
23MB,XIAREDMINOTE12PRO4GW,0.0
23MD,XIAREDMINOTE12PRO4GW,6.218567058708288
23NC,XIAREDMINOTE12PRO4GW,82.39501702459927
23MD,XIAREDMINOTE12PROB,322.3418492694118
23NB,XIAREDMINOTE12PROB,398.14238793869987
23NC,XIAREDMINOTE12PROB,303.36717212907286
23MD,XIAREDMINOTE12PROW,184.41484858265068
23NB,XIAREDMINOTE12PROW,268.5171000036181
23NC,XIAREDMINOTE12PROW,190.70116612924846
23NA,XIARENOTE12PRO256,987.0801970738804
23NC,XIARENOTE12PRO256,1014.191701303317
23MC,XIARENOTE12PRO256,1035.743533259358
23MD,APLIPHONE11128,956.6147600562276
23MD,APLIPHONE11128W,669.8547879919951
23MB,APLIPHONE12128,422.0216283993145
23NB,APLIPHONE12128,793.8731153627887
23MC,APLIPHONE12128,178.8627478002793
23MB,APLIPHONE12128P,208.3592444131218
23MC,APLIPHONE12128P,161.41706512991738
23MB,APLIPHONE12128W,230.1231704483579
23NB,APLIPHONE12128W,517.2888715912604
23MC,APLIPHONE12128W,179.58497124840653
23MD,APLIPHONE13128,687.9262620951754
23MA,APLIPHONE13128,680.3024559117887
23NC,APLIPHONE13128,601.0584822593263
23MD,APLIPHONE13128P,189.33250358612028
23MA,APLIPHONE13128P,103.69404548621753
23NC,APLIPHONE13128P,314.76297621191645
23MD,APLIPHONE13128W,469.79525420228947
23MA,APLIPHONE13128W,357.42766184976347
23NC,APLIPHONE13128W,575.9918564919311
23MB,APLIPHONE14128B,926.252230453217
23NB,APLIPHONE14128B,1245.1475854209068
23MB,APLIPHONE14128RED,311.4253549613616
23NB,APLIPHONE14128RED,512.7294591461433
23MB,APLIPHONE14128Y,158.06340824377276
23NB,APLIPHONE14128Y,377.4107156458785
23MA,APLIPHONE14PLUS128B,173.71670446325626
23MA,APLIPHONE14PLUS128P,82.71358227094294
23MA,APLIPHONE14PLUS128W,168.4945137922521
23MA,APLIPHONE15128B,461.8743575664094
23NA,APLIPHONE15128B,613.0793264114154
23NC,APLIPHONE15128B,840.8750663191088
23MC,APLIPHONE15128B,659.0024458696089
23MA,APLIPHONE15128GR,236.3845036885701
23NA,APLIPHONE15128GR,403.7850166387321
23NC,APLIPHONE15128GR,582.216162404522
23MC,APLIPHONE15128GR,341.57505217252213
23MA,APLIPHONE15128Y,102.76105820513345
23NA,APLIPHONE15128Y,227.43808586835507
23NC,APLIPHONE15128Y,351.2285285732137
23MC,APLIPHONE15128Y,153.29431490552128
23MB,APLIPHONE15256B,413.04933151084833
23MA,APLIPHONE15256B,217.0183690344229
23NA,APLIPHONE15256B,356.5036155138982
23MC,APLIPHONE15256B,314.41627573157064
23MB,APLIPHONE15256GR,260.87258587460803
23MA,APLIPHONE15256GR,84.74516307948261
23NA,APLIPHONE15256GR,221.21900867770017
23MC,APLIPHONE15256GR,148.52006511642955
23MB,APLIPHONE15256Y,187.3710628029916
23MA,APLIPHONE15256Y,17.142718906631217
23NA,APLIPHONE15256Y,143.9031615522848
23MC,APLIPHONE15256Y,65.99221043754312
23MD,APLIPHONE15PMAX256B,355.44675845535994
23MA,APLIPHONE15PMAX256B,206.86712042060432
23NC,APLIPHONE15PMAX256B,770.7087560415421
23MD,APLIPHONE15PMAX256N,187.97753711520645
23MA,APLIPHONE15PMAX256N,102.05449526588097
23NC,APLIPHONE15PMAX256N,504.94867697817597
23MD,APLIPHONE15PMAX256W,137.6509408396363
23MA,APLIPHONE15PMAX256W,81.25461227425251
23NC,APLIPHONE15PMAX256W,216.1486210397893
23NB,APLIPHONE15PRO128,570.2353418742282
23MC,APLIPHONE15PRO128,466.22025194454176
23NA,APLIPHONE15PRO256B,265.0485319038155
23NA,APLIPHONE15PRO256N,147.02049522161659
23NA,APLIPHONE15PRO256W,90.48975394308053
23NB,BRNAMICOSMARTPHONES+,403.6066909862451
23NC,BRNAMICOSMARTPHONES+,456.7112311854788
23NB,GGOPIXEL7AB,285.4067744288081
23NC,GGOPIXEL7AB,255.61552653160925
23MC,GGOPIXEL7AB,25.71338412064108
23MB,GGOPIXEL8128,119.06898604218429
23MA,GGOPIXEL8128,0.0
23NA,GGOPIXEL8128,146.7297163230156
23MB,GGOPIXEL8128P,0.0
23MA,GGOPIXEL8128P,0.0
23NA,GGOPIXEL8128P,0.0
23MA,GGOPIXEL8256G,0.0
23MD,GGOPIXEL8PRO128B,0.0
23MA,GGOPIXEL8PRO128B,0.0
23NC,GGOPIXEL8PRO128B,108.07143518234494
23MD,GGOPIXEL8PRO128W,0.0
23MA,GGOPIXEL8PRO128W,0.0
23NC,GGOPIXEL8PRO128W,0.0
23MA,GGOPIXEL8PRO256,0.0
23NB,H3G12LITE,495.1324828476348
23NA,H3G12LITE,343.40661804027786
23MC,H3G12LITE,363.99026818722973
23MD,H3GA04S,579.5245354130079
23NA,H3GA04S,364.31920429712807
23MB,H3GA23,449.5089700240722
23NB,H3GA23,588.6907507154776
23MC,H3GA23,398.67908283370014
23MD,H3GG990,219.77985941960648
23MD,H3GREDMIA2,587.7956526926197
23NC,H3GREDMIA2,396.4886900677744
23NA,H3GSAMA1464,372.6081730787623
23NC,H3GSAMA1464,454.86758301420844
23MC,H3GSAMA1464,584.1496267221041
23MD,HOR708256,192.5404165657096
23MD,HOR9012512,458.10668678928715
23NB,HOR9012512,583.3935155530564
23MA,HOR9012512,360.82147639530183
23NA,HOR9012512,421.56890461993453
23MC,HOR9012512,419.48510475731786
23MD,HOR9012512GR,211.08709233002472
23NB,HOR9012512GR,364.10148152440047
23MA,HOR9012512GR,123.92681756462679
23NA,HOR9012512GR,190.69174526908938
23MC,HOR9012512GR,172.71965612609617
23MD,HOR90LITE8256C,618.3014765309781
23NB,HOR90LITE8256C,703.8288422614078
23MD,HORMAGIC5PRO12256GR,0.0
23MB,HORX5PLUS464,1453.275311724441
